subj,lastwin,lasttransR,stay,s1rt,s2rt,currtransR
829,-1,1,1,0.567051615333185,1.46759998287598,-1
829,1,-1,0,0.742714673790033,0.82738907118619,-1
829,1,-1,0,0.543120682239532,0.45919889085053,-1
829,1,-1,0,0.806776841491228,2.38742286665365,-1
829,1,-1,0,0.567090173994075,1.78717168944422,-1
829,1,-1,1,1.1987580806308,1.02914850045636,1
829,-1,1,0,0.798825603080331,0.795597918899148,-1
829,-1,-1,0,0.60708713385975,0.746706261954387,-1
829,-1,-1,1,0.750182188741746,0.794901657514856,-1
829,-1,-1,0,0.790158753734431,0.81875520896574,1
829,-1,1,0,1.05441354258801,0.81868887260498,-1
829,1,-1,1,1.7255904719932,0.908286378631601,-1
829,1,-1,0,1.94211383417132,2.19470897557039,-1
829,-1,-1,0,1.16636566820671,0.786972514077206,1
829,-1,1,1,1.49417202065524,0.722853165934794,-1
829,1,-1,1,1.56609506082896,0.898833428553189,-1
829,1,-1,1,0.782462313829456,0.860388479501125,-1
829,1,-1,0,1.102443236814,2.12241284821357,-1
829,-1,-1,0,1.21406158976606,0.738985664982465,-1
829,1,-1,1,0.45549520602799,1.09899471669632,-1
829,-1,-1,1,1.18240696653083,0.418392604406108,-1
829,1,-1,1,1.84643591458735,1.11481323844055,-1
829,1,-1,0,1.08646029375086,0.938416360426345,-1
829,-1,-1,1,2.27832349487289,0.588233176444191,-1
829,-1,-1,0,0.456095281871967,0.610914795222925,-1
829,-1,-1,1,0.853851018080604,0.426892918228987,1
829,1,1,0,0.718315428603091,0.547621949895984,-1
829,-1,-1,0,0.60647240903927,0.930166894439026,-1
829,-1,-1,0,0.925781613521394,0.770474276898312,-1
829,1,-1,0,0.597763524579932,1.12171857582871,-1
829,-1,-1,1,0.652895760445972,0.626763643653248,1
829,1,1,0,0.637983305932721,0.577523965563159,-1
829,1,-1,1,0.66111227782676,0.665354655939154,-1
829,-1,-1,0,0.428797047658009,0.87359719707456,-1
829,-1,-1,1,0.820934494753601,0.704378778114915,-1
829,1,-1,0,0.708366749400739,0.976848987891572,1
829,1,1,0,1.24372739333194,1.06520998224732,-1
829,-1,-1,1,0.827360395123833,1.55958241975168,1
829,1,1,0,0.691246032030904,0.831820962455822,-1
829,-1,-1,0,1.47661566767783,0.599292143262574,-1
829,1,-1,1,0.986433403930278,0.686847894321545,1
829,1,1,0,1.68245736275276,0.519204896743759,-1
829,-1,-1,0,0.850221715896623,1.47885669977404,-1
829,1,-1,1,0.930594927849597,0.750810683399322,-1
829,-1,-1,1,0.850505934620742,0.871008164569503,-1
829,1,-1,0,1.39459174590593,0.854909432993736,-1
829,-1,-1,1,2.06656137038954,0.910872751715942,-1
829,-1,-1,1,0.426321387843927,0.646630491959513,1
829,1,1,1,1.13061200799712,0.543321776523953,-1
829,1,-1,1,0.754532215170912,0.40706525024143,-1
829,-1,-1,0,0.434414304356324,0.00805583919282071,-1
829,1,-1,0,1.54645014469861,0.391207664404646,-1
829,1,-1,1,0.315768385058618,0.111016153503442,-1
829,1,-1,1,0.05039031621709,0.0311012135498459,1
829,-1,1,1,0.362403108141734,0.887109134768252,-1
829,1,-1,1,0.5704107486672,0.672407932361239,-1
829,1,-1,0,0.834663160407217,0.799186093427124,-1
829,1,-1,1,2.09046863431286,1.05506074523146,1
829,-1,1,0,1.05836573590932,0.806930855382234,1
829,1,1,0,1.11464178707683,0.662687701042159,-1
829,-1,-1,1,1.11579842948413,1.0630539143749,-1
829,1,-1,0,0.834447039145743,1.23098797682906,1
829,1,1,1,0.474393563446938,0.639350834360812,-1
829,1,-1,1,0.962511108373292,1.59859639352362,1
829,1,1,1,0.769042955434998,0.765713329819846,-1
829,1,-1,1,0.281221312878188,0.477837227444979,-1
829,1,-1,1,0.488910744374152,0.517197730689077,1
829,-1,1,0,0.95168490492506,1.45944831387897,-1
829,1,-1,1,2.67847705255554,0.75559857787448,-1
829,1,-1,0,0.878968406497734,0.811586321608047,-1
829,-1,-1,0,1.61511926405365,0.627689247281523,1
829,1,1,0,0.823136682985933,0.483718497649534,-1
829,1,-1,1,0.887053921789629,0.635378831328126,-1
829,1,-1,1,1.43858785927296,0.699465139434324,-1
829,-1,-1,1,0.990954250723007,0.675034010215313,-1
829,1,-1,1,0.358595916666673,1.05977730714949,1
829,-1,1,0,1.2707639043947,0.915839788780431,-1
829,1,-1,1,1.77484801872924,0.883515465146047,-1
829,1,-1,1,1.51084244567028,1.17952324509679,-1
829,1,-1,1,1.47090076511085,0.818922129677958,-1
829,-1,-1,1,0.845847485703416,0.650153195354505,1
829,-1,1,1,0.91057231349987,1.10649982193718,-1
829,1,-1,1,0.894515971900546,0.818761369650019,1
829,-1,1,0,1.35848981847812,1.10698029641935,-1
829,-1,-1,0,2.86229031889525,0.900260000373237,-1
829,1,-1,0,1.09632585725922,0.772244431063882,-1
829,1,-1,1,0.431562245590612,0.588208933957503,1
829,-1,1,0,0.943706597958226,0.596199672698276,-1
829,1,-1,0,1.06363721218077,0.643814528812072,-1
829,1,-1,1,0.478647933312459,0.611779602535535,-1
829,1,-1,1,0.407214515609667,0.45178786739416,1
829,1,1,0,0.367250412746216,0.907827305709361,-1
829,-1,-1,1,1.35922831960488,1.13989196742477,-1
829,-1,-1,0,0.607103339920286,0.530460588430287,1
829,-1,1,1,0.998499711087788,0.723016091913451,-1
829,-1,-1,0,1.87035364277835,0.363195268670097,-1
829,1,-1,1,0.854115762878791,0.562123295909259,-1
829,-1,-1,0,0.734280457341811,0.787040284223622,-1
829,-1,-1,1,0.742544462584192,1.25074153381865,1
829,-1,1,1,1.14943361855694,0.705819704453461,1
829,-1,1,1,0.741732382783084,0.569678260522778,-1
829,-1,-1,0,1.29315183310246,0.89007842852152,-1
829,-1,-1,0,0.837579217026359,1.15403335537121,-1
829,1,-1,1,0.7255175672326,1.81013870421157,-1
829,1,-1,1,1.17403127535363,1.09019363464904,-1
829,-1,-1,1,0.717542743426748,0.762222495672177,-1
829,-1,-1,1,1.14986779683386,1.2343033823272,-1
829,1,-1,1,0.285614748019725,1.17845375921752,-1
829,1,-1,0,0.709791583081824,0.698550231507397,-1
829,-1,-1,0,0.661588045812096,0.674253171921009,1
829,-1,1,1,0.877265217655804,1.05823201895691,-1
829,-1,-1,0,1.5256946534646,0.633871118858224,-1
829,-1,-1,1,0.645913181026117,1.0824458203133,-1
829,-1,-1,1,1.10987316475075,0.634437623797567,-1
829,-1,-1,1,0.869564849621383,0.970121094069327,-1
829,-1,-1,1,1.10991113238561,0.754232946957927,1
829,1,1,1,2.07758056375314,0.834357917949092,-1
829,-1,-1,1,0.909284437366296,0.818569671653677,-1
829,-1,-1,1,1.35780662036268,0.68195140453463,-1
829,1,-1,1,1.12574015422433,0.570078058924992,-1
829,-1,-1,0,0.421331643738085,1.19462044525426,-1
829,1,-1,0,1.42991428761161,1.01045013936528,-1
829,-1,-1,0,0.637567940095323,0.833987479796633,1
829,-1,1,0,0.773330699739745,0.594610519983689,1
829,-1,1,1,1.11765771434875,0.803470030863537,-1
829,-1,-1,1,1.78167092165677,1.21837207007047,-1
829,1,-1,1,0.437663489195984,0.659658252014196,-1
829,-1,-1,0,0.741795403286233,0.706373357650591,-1
829,-1,-1,0,0.213370552330161,0.602028494118713,-1
829,-1,-1,1,0.757642933211173,0.714626314904308,-1
829,-1,-1,0,1.54162694091792,0.762633538965019,-1
829,-1,-1,0,0.885778564130305,0.714338663005037,1
829,1,1,0,0.653730802951031,0.71457377448678,-1
1055,1,-1,1,0.732284680969315,0.649166321207304,1
1055,-1,1,1,0.628270073619206,0.895507156732492,-1
1055,-1,-1,1,0.747969666408608,2.144168575207,1
1055,1,1,0,0.651832717354409,1.1358005842776,-1
1055,1,-1,1,0.787150844669668,0.815672162832925,-1
1055,1,-1,1,0.755138668988366,1.95830183906946,1
1055,-1,1,1,0.72229696623981,1.27948971858132,1
1055,1,1,1,0.786365844833199,1.38753783298307,-1
1055,1,-1,1,0.937152285099728,2.75041526119458,-1
1055,1,-1,1,0.913534956140211,1.05865414792788,-1
1055,1,-1,1,0.865534566954011,2.16603254215443,1
1055,1,1,1,0.857769894850207,0.710351740039187,-1
1055,1,-1,1,0.697367976390524,1.46225243899971,-1
1055,1,-1,1,0.577822849241784,1.51774951466359,1
1055,1,1,1,1.03033587973914,1.1249028671009,1
1055,1,1,1,1.34439681388903,1.80463354973472,-1
1055,-1,-1,1,1.39940784792998,0.787508042732952,-1
1055,-1,-1,0,0.574844486633083,0.704441515845247,1
1055,-1,1,1,0.5186622319452,1.06758759269724,-1
1055,1,-1,1,0.781476659292821,1.44977997572278,1
1055,1,1,0,0.525256654742407,1.33511265341076,-1
1055,1,-1,1,0.764416267978959,1.12035901047057,1
1055,-1,1,1,0.749279906915035,1.08854029618669,1
1055,-1,1,1,1.12541666120524,1.04223629657645,-1
1055,1,-1,1,1.09133143813233,2.12784406435094,1
1055,1,1,1,0.682602883491199,1.67843419016572,-1
1055,-1,-1,0,0.561722666461719,0.596037918556249,-1
1055,-1,-1,0,0.617669689236209,0.892634933174122,-1
1055,-1,-1,0,0.649014268768951,0.820527222094825,-1
1055,1,-1,1,0.647853785514599,1.15367243779474,1
1055,-1,1,1,0.903760913992301,0.626983328518691,-1
1055,1,-1,1,0.750493936619023,0.819798485987121,-1
1055,1,-1,1,0.838928154087625,0.658747487846995,-1
1055,1,-1,1,0.966446593403816,1.9003045411373,-1
1055,-1,-1,1,0.814198339125142,0.924866302404553,-1
1055,1,-1,1,0.870265384786762,1.37088911869796,1
1055,1,1,1,1.06219701163354,0.930552899080794,1
1055,-1,1,1,0.942126110516256,2.3468251285085,1
1055,-1,1,1,1.03662019484909,1.16075276595075,-1
1055,-1,-1,0,1.73234253140981,1.09590110206045,-1
1055,-1,-1,0,1.02022676967317,1.08043117215857,1
1055,-1,1,1,2.19379458783078,0.677542608202202,-1
1055,-1,-1,0,0.592462757165777,1.82079388422426,1
1055,1,1,1,1.06413186050486,0.964802230417263,1
1055,-1,1,1,0.544325439666864,1.07638450918603,1
1055,1,1,0,0.495496311428724,0.924138532747747,-1
1055,1,-1,1,0.550841324205976,0.80354361719219,-1
1055,1,-1,0,0.486858112330083,0.985230238555232,1
1055,-1,1,0,0.89256852446124,0.859551541827386,-1
1055,1,-1,1,1.16685977132875,1.06628613296198,-1
1055,1,-1,1,0.895047528290888,1.22663809097139,-1
1055,-1,-1,1,0.846753932739375,0.826731301320251,-1
1055,1,-1,1,1.90151187995798,0.857552464323817,-1
1055,1,-1,1,0.780668841704028,0.920733836625004,-1
1055,-1,-1,1,1.29222771528293,0.952834797295509,-1
1055,1,-1,1,0.868102545064176,0.864142160571646,-1
1055,-1,-1,1,0.922367406805279,1.89518264724757,1
1055,-1,1,1,0.650173899281071,1.0746296790312,1
1055,1,1,1,1.05868164816638,0.886542306223419,-1
1055,1,-1,1,0.873265623580664,0.726448802277446,-1
1055,1,-1,1,0.625772962957853,1.17477042617975,-1
1055,1,-1,1,1.05879165435908,1.59068480896531,1
1055,1,1,1,0.737376097706147,1.38211406214396,-1
1055,1,-1,1,0.984726928960299,0.884559986763634,-1
1055,1,-1,1,0.671962558379164,1.04786634305492,1
1055,1,1,1,0.903493475809228,0.946352807368385,1
1055,1,1,1,0.886450741789304,1.22060521354433,-1
1055,1,-1,1,0.965610337560065,0.962492435937747,-1
1055,1,-1,1,1.82971287867986,1.51363972987747,1
1055,-1,1,1,1.78533273821813,1.70050685145543,-1
1055,1,-1,1,1.66842148482101,1.33665078633931,-1
1055,1,-1,1,1.01961830086657,1.51149615875329,-1
1055,-1,-1,1,1.13031084599788,0.846379406983033,-1
1055,1,-1,1,0.9622763232328,0.849916631326778,-1
1055,1,-1,1,0.808809243288124,0.756424118357245,-1
1055,-1,-1,1,1.27998602989828,0.884576913405908,-1
1055,1,-1,1,0.805161882046377,1.26649696860113,1
1055,-1,1,1,0.917200287542073,0.761986708355835,-1
1055,-1,-1,1,0.837389127293136,1.05643274015165,-1
1055,-1,-1,1,0.86850912484806,1.0801948098524,-1
1055,1,-1,1,0.723815299250418,0.871825613314286,-1
1055,1,-1,1,0.610858444793848,1.0467581062112,1
1055,1,1,1,0.985770762141328,0.942209356377134,-1
1055,1,-1,1,1.00148786581121,0.908607737568673,-1
1055,-1,-1,1,0.800613492174307,0.844208716327557,-1
1055,1,-1,1,0.911577685212251,0.595246619050158,-1
1055,-1,-1,1,0.503591805056203,1.1474759830453,-1
1055,-1,-1,1,0.718610012379941,0.851306154334452,-1
1055,-1,-1,1,0.880955607950455,0.858859035070054,-1
1055,1,-1,1,0.899840895406669,0.817750015499769,-1
1055,1,-1,1,0.603191296977457,0.71194936032407,-1
1055,-1,-1,1,0.531587471457897,0.847221496485872,-1
1055,-1,-1,1,1.25048993108794,0.606660936318804,-1
1055,-1,-1,1,0.497850632324116,0.509667402075138,-1
1055,-1,-1,0,0.441129426821135,1.63334317010595,1
1055,-1,1,1,0.393165240879171,1.35002110491041,1
1055,-1,1,1,0.432367607631022,1.00585369180772,1
1055,1,1,0,0.527868238510564,0.554369262827095,-1
1055,-1,-1,0,0.413819709472591,1.34544886709773,-1
1055,-1,-1,0,0.903439036483178,0.576287552481517,-1
1055,-1,-1,1,0.996964563819347,1.71210675471229,1
1055,1,1,1,1.07489022659138,1.26262311075698,1
1055,-1,1,1,0.513558865262894,1.26862506769248,-1
1055,-1,-1,1,0.922398878552485,1.82031748088775,1
1055,1,1,1,0.74256279799738,1.19455978268525,-1
1055,-1,-1,0,0.632529694965342,1.84362876819796,-1
1055,-1,-1,1,1.50962709545274,0.905774283251958,-1
1055,-1,-1,0,0.741304624680197,0.552925180527382,1
1055,1,1,0,0.572541345056379,1.83283510137699,1
1055,-1,1,1,0.484320701041725,0.929504149535205,-1
1055,1,-1,1,0.692554490378825,1.83284172145068,1
1055,1,1,1,0.729061675170669,0.941842797765275,-1
1055,1,-1,1,0.560623568890151,1.38082055127597,-1
1055,1,-1,1,0.575984456576407,0.709796755138086,-1
1055,1,-1,1,0.905197030282579,0.793993424624205,-1
1055,-1,-1,1,0.661389201850398,0.809666574699804,-1
1055,1,-1,1,0.972444473445648,1.39239644788904,1
1055,1,1,0,1.00300905192853,0.685453985497588,-1
1055,-1,-1,0,0.641070737270638,0.512788021296728,1
1055,1,1,1,0.799357069598045,0.803204775816994,-1
1055,-1,-1,0,0.558227356290445,0.634772542078281,-1
1055,1,-1,1,0.830285474250559,1.41818690419313,1
1055,-1,1,1,0.91628728955402,1.76212249649689,-1
1055,1,-1,1,0.768153463926865,1.07315713915159,1
1055,1,1,1,0.420787907962222,1.11324113461887,1
1055,-1,1,1,0.81074813863961,1.71061668361654,-1
1055,-1,-1,1,0.513811585435178,0.477875956887146,-1
1055,1,-1,1,0.736791249073576,1.12413619176368,-1
1055,1,-1,1,0.799504669150338,1.0597306091222,-1
1055,1,-1,1,0.950412868027342,0.754197189526167,1
1055,-1,1,1,1.69737900979817,1.88399606588064,-1
1055,1,-1,1,1.31674439576454,1.49894057540223,-1
1055,1,-1,1,0.106787222175626,1.13170302426443,-1
1055,1,-1,1,0.609051108185668,1.4540456958639,1
1055,1,1,1,0.705509589519352,0.901964486547513,-1
1055,-1,-1,1,0.841216109751258,0.925175275304355,-1
1055,-1,-1,1,0.775740058597876,2.35439851376577,-1
1055,1,-1,1,0.894642874103738,1.57098288461566,-1
1456,1,-1,1,1.19634812464938,1.04133248934522,-1
1456,1,-1,1,0.684683790896088,1.34509604843333,-1
1456,1,-1,1,0.780421516858041,2.06537955231033,1
1456,-1,1,1,0.796454480383545,0.737452531000599,-1
1456,-1,-1,1,0.732436683494598,0.744763482129201,-1
1456,1,-1,0,1.19746730104089,0.784385393839329,-1
1456,-1,-1,0,0.700791719835252,1.7213770498056,1
1456,-1,1,0,0.916581136640161,0.521081024780869,1
1456,1,1,0,0.708524726796895,0.480772561160848,1
1456,1,1,1,1.56398517847992,0.841302335262299,-1
1456,1,-1,1,0.908760408638045,1.85674790362827,1
1456,1,1,0,0.604606005363166,0.768771904055029,1
1456,1,1,0,0.827534194104373,1.57488724286668,-1
1456,1,-1,1,0.699215362314135,0.816035705851391,1
1456,1,1,1,0.779381273780018,1.45602544979192,-1
1456,1,-1,0,1.69149453821592,0.582981272367761,-1
1456,-1,-1,1,0.785311629995704,0.926350340945646,-1
1456,-1,-1,0,1.28962178085931,1.22236116905697,-1
1456,-1,-1,0,1.27376240422018,2.25422909273766,1
1456,1,1,0,0.737809716025367,1.10242102108896,-1
1456,-1,-1,1,1.16189568396658,0.854441645322368,1
1456,-1,1,1,0.68976387148723,0.726466493448243,1
1456,-1,1,1,1.12998310872354,1.21431054081768,1
1456,-1,1,1,1.29805072303861,1.39840589370579,1
1456,-1,1,1,1.40935570886359,1.03848222806118,-1
1456,1,-1,1,0.650002349633723,1.83848337433301,1
1456,-1,1,1,1.22582559543662,1.26237982884049,-1
1456,-1,-1,0,2.59369993838482,1.72668091859668,-1
1456,1,-1,1,0.7939929633867,1.41453531105071,-1
1456,1,-1,1,0.689975773217157,0.590059635229409,-1
1456,-1,-1,1,0.890049563953653,1.01474207174033,1
1456,1,1,1,2.01184859243222,0.912248919485137,1
1456,-1,1,0,0.595952981384471,0.63278070720844,-1
1456,-1,-1,0,0.459460638463497,1.20082657341845,-1
1456,-1,-1,0,1.46015740628354,0.84086256660521,-1
1456,-1,-1,0,1.83618935453705,0.784766603028402,-1
1456,-1,-1,1,2.40416334825568,2.65675768652,-1
1456,1,-1,0,0.588270686333999,1.27288583968766,-1
1456,-1,-1,1,1.46834480646066,1.05681446776725,-1
1456,-1,-1,1,1.05932210339233,1.32786933402531,1
1456,1,1,0,1.21078419638798,1.51938273385167,1
1456,1,1,0,1.43418349698186,1.81547771045007,-1
1456,-1,-1,1,1.0588941029273,0.535972735378891,1
1456,-1,1,0,1.32220780383795,0.639336072374135,-1
1456,-1,-1,0,0.898660692386329,0.743451449321583,1
1456,1,1,0,1.64199817995541,1.3901457679458,1
1456,-1,1,1,1.83413298684172,0.950441088760272,-1
1456,1,-1,1,1.36951748398133,1.50280900020152,-1
1456,1,-1,0,2.6099755235482,0.846621109638363,-1
1456,1,-1,1,1.39392431802116,0.926832512253895,-1
1456,1,-1,1,0.820129708619788,0.91013590246439,1
1456,1,1,0,1.49731526244432,1.54072883934714,-1
1456,1,-1,1,1.1804906076286,1.56480342126451,-1
1456,1,-1,1,1.15274343686178,2.10937585262582,1
1456,-1,1,1,0.880607476457953,1.91729930276051,-1
1456,-1,-1,0,0.944601594470441,0.549241587752476,1
1456,1,1,0,1.28858636273071,1.22122410475276,-1
1456,1,-1,1,0.856818648753688,0.701480029616505,-1
1456,1,-1,0,0.938461651559919,0.845098499907181,1
1456,-1,1,0,2.28858804539777,1.04541566083208,-1
1456,-1,-1,1,0.747670428594574,0.599816673435271,1
1456,-1,1,0,0.737900181440637,0.638976371381432,1
1456,-1,1,1,0.506431796355173,0.789668216137215,-1
1456,-1,-1,0,0.954352913424373,0.998828777112067,-1
1456,1,-1,1,0.553836820879951,2.28676509810612,-1
1456,1,-1,1,0.801139404531568,0.543451917823404,-1
1456,1,-1,1,0.92105163144879,1.46143075753935,-1
1456,-1,-1,0,0.816848657792434,1.98868341348134,-1
1456,-1,-1,1,1.70422576880082,1.63612941536121,-1
1456,1,-1,1,0.86338496231474,1.63568005012348,-1
1456,-1,-1,0,1.63861045660451,1.86855882732198,1
1456,1,1,0,1.00679064705037,0.898859912296757,-1
1456,1,-1,0,2.1427686335519,0.970846222247928,-1
1456,-1,-1,0,1.09395581134595,1.31474520289339,-1
1456,1,-1,1,0.885541240917519,0.962180057307705,-1
1456,-1,-1,1,0.414033399894834,1.08177277911454,-1
1456,-1,-1,1,0.469379378482699,0.889147875132039,-1
1456,-1,-1,0,0.684836740139872,0.8180683394894,1
1456,1,1,0,0.693316911580041,1.06509236060083,1
1456,-1,1,0,1.17284066765569,1.09669876494445,1
1456,1,1,0,0.506693798583001,0.567703125532717,-1
1456,-1,-1,1,1.10738643049262,0.67971005779691,-1
1456,1,-1,1,0.547401381190866,0.895709072472528,1
1456,-1,1,0,2.33137806248851,1.40733012906276,-1
1456,-1,-1,1,0.91683766245842,0.751001681899652,-1
1456,-1,-1,1,0.914474340854213,0.871081473538652,-1
1456,1,-1,1,0.578472513007,0.525817606598139,-1
1456,1,-1,1,0.778005418833345,1.66961225960404,-1
1456,1,-1,0,0.817026215838268,0.756891491357237,1
1456,-1,1,1,0.824373175157234,0.773054234217852,-1
1456,-1,-1,1,1.0965837368276,1.2051937112119,-1
1456,-1,-1,1,1.47238786891103,1.01250673877075,1
1456,-1,1,1,0.855739550897852,0.724466535495594,-1
1456,-1,-1,1,0.543231301009655,0.980496230302379,-1
1456,1,-1,0,1.19163650623523,0.708278756588697,-1
1456,-1,-1,0,1.30373189481907,0.836168284295127,-1
1456,1,-1,1,0.743220420787111,0.972425329498947,1
1456,1,1,0,0.975236676866189,1.26044788374566,-1
1456,-1,-1,1,1.58363313926384,0.96419709851034,1
1456,-1,1,0,0.79103291220963,0.771641301224008,1
1456,1,1,0,0.814899560529739,1.3147126105614,-1
1456,1,-1,0,0.525613104691729,0.737276105908677,-1
1456,-1,-1,1,0.748795609222725,0.936605460708961,1
1456,1,1,1,0.700326797785237,1.00875494489446,1
1456,-1,1,0,0.891081602778286,1.08739608898759,-1
1456,-1,-1,0,0.54765620524995,0.871322660474107,-1
1456,1,-1,0,0.946975617203861,0.65478744590655,-1
1456,1,-1,0,0.541595280403271,0.997655141400173,-1
1456,1,-1,0,0.729230415308848,0.668999471701682,1
1617,1,1,0,0.965035604429431,0.617778047337197,-1
1617,1,-1,1,0.566073506866815,1.18598988105077,1
1617,1,1,0,0.517417217808543,0.969722160662059,1
1617,1,1,1,0.600220931839431,0.657437363261124,-1
1617,1,-1,1,0.462905500899069,1.2743159472011,-1
1617,1,-1,1,0.621477992244763,0.425889739854028,-1
1617,1,-1,1,0.689886442647548,0.586696279555326,-1
1617,1,-1,1,1.07670097440132,0.824449847394135,-1
1617,1,-1,1,0.629256055981386,0.578356039477512,-1
1617,-1,-1,0,0.434289585478837,0.519240122026531,-1
1617,1,-1,1,0.580792418302735,0.860139609401813,1
1617,1,1,1,0.517196744680405,0.888482920912793,1
